"","ID","Scenario","alt","chosen","RC","OC","DR","rt","income","workdays"
"177","R_23V6WTC693E94Og","A1.1R",1,0,3000,39,600,15.715,1.50407739677627,6
"178","R_23V6WTC693E94Og","A1.1R",3,1,3000,17,350,15.715,1.50407739677627,6
"179","R_23V6WTC693E94Og","A1.1R",4,0,2950,17,250,15.715,1.50407739677627,6
"180","R_23V6WTC693E94Og","A1.3R",1,0,3000,39,600,11.354,1.50407739677627,6
"181","R_23V6WTC693E94Og","A1.3R",3,1,3000,17,350,11.354,1.50407739677627,6
"182","R_23V6WTC693E94Og","A1.3R",4,0,2980,17,300,11.354,1.50407739677627,6
"183","R_23V6WTC693E94Og","A1.4R",1,0,3000,39,600,15.357,1.50407739677627,6
"184","R_23V6WTC693E94Og","A1.4R",3,1,3000,17,350,15.357,1.50407739677627,6
"185","R_23V6WTC693E94Og","A1.4R",4,0,2980,17,250,15.357,1.50407739677627,6
"186","R_23V6WTC693E94Og","A1.2R",1,0,3000,39,600,15.863,1.50407739677627,6
"187","R_23V6WTC693E94Og","A1.2R",3,1,3000,17,350,15.863,1.50407739677627,6
"188","R_23V6WTC693E94Og","A1.2R",4,0,2950,17,200,15.863,1.50407739677627,6
"209","R_1MMyGP7w3EwTfMC","A1.1",1,0,3000,41,600,22.914,0.916290731874155,7
"210","R_1MMyGP7w3EwTfMC","A1.1",3,1,3000,17,350,22.914,0.916290731874155,7
"211","R_1MMyGP7w3EwTfMC","A1.1",4,0,2950,17,250,22.914,0.916290731874155,7
"212","R_1MMyGP7w3EwTfMC","A1.4",1,0,3000,41,600,20.168,0.916290731874155,7
"213","R_1MMyGP7w3EwTfMC","A1.4",3,1,3000,17,350,20.168,0.916290731874155,7
"214","R_1MMyGP7w3EwTfMC","A1.4",4,0,2980,17,250,20.168,0.916290731874155,7
"215","R_1MMyGP7w3EwTfMC","A1.2",1,0,3000,41,600,8.009,0.916290731874155,7
"216","R_1MMyGP7w3EwTfMC","A1.2",3,1,3000,17,350,8.009,0.916290731874155,7
"217","R_1MMyGP7w3EwTfMC","A1.2",4,0,2950,17,200,8.009,0.916290731874155,7
"218","R_1MMyGP7w3EwTfMC","A1.3",1,0,3000,41,600,7.923,0.916290731874155,7
"219","R_1MMyGP7w3EwTfMC","A1.3",3,1,3000,17,350,7.923,0.916290731874155,7
"220","R_1MMyGP7w3EwTfMC","A1.3",4,0,2980,17,300,7.923,0.916290731874155,7
"271","R_116lQQNL0eDcDhB","A1.1R",1,1,3000,45,550,6.657,1.25276296849537,7
"272","R_116lQQNL0eDcDhB","A1.1R",3,0,3450,14,350,6.657,1.25276296849537,7
"273","R_116lQQNL0eDcDhB","A1.1R",4,0,3400,14,250,6.657,1.25276296849537,7
"274","R_116lQQNL0eDcDhB","A1.2R",1,1,3000,45,550,3.673,1.25276296849537,7
"275","R_116lQQNL0eDcDhB","A1.2R",3,0,3450,14,350,3.673,1.25276296849537,7
"276","R_116lQQNL0eDcDhB","A1.2R",4,0,3400,14,200,3.673,1.25276296849537,7
"277","R_116lQQNL0eDcDhB","A1.4R",1,1,3000,45,550,4.857,1.25276296849537,7
"278","R_116lQQNL0eDcDhB","A1.4R",3,0,3450,14,350,4.857,1.25276296849537,7
"279","R_116lQQNL0eDcDhB","A1.4R",4,0,3430,14,250,4.857,1.25276296849537,7
"280","R_116lQQNL0eDcDhB","A1.3R",1,1,3000,45,550,2.633,1.25276296849537,7
"281","R_116lQQNL0eDcDhB","A1.3R",3,0,3450,14,350,2.633,1.25276296849537,7
"282","R_116lQQNL0eDcDhB","A1.3R",4,0,3430,14,300,2.633,1.25276296849537,7
"399","R_1QH55CS8w4P9JoK","A1.4R",1,0,4200,39,600,42.697,1.50407739677627,6
"400","R_1QH55CS8w4P9JoK","A1.4R",3,1,3800,17,350,42.697,1.50407739677627,6
"401","R_1QH55CS8w4P9JoK","A1.4R",4,0,3780,17,250,42.697,1.50407739677627,6
"402","R_1QH55CS8w4P9JoK","A1.1R",1,0,4200,39,600,14.05,1.50407739677627,6
"403","R_1QH55CS8w4P9JoK","A1.1R",3,1,3800,17,350,14.05,1.50407739677627,6
"404","R_1QH55CS8w4P9JoK","A1.1R",4,0,3750,17,250,14.05,1.50407739677627,6
"405","R_1QH55CS8w4P9JoK","A1.2R",1,0,4200,39,600,15.343,1.50407739677627,6
"406","R_1QH55CS8w4P9JoK","A1.2R",3,1,3800,17,350,15.343,1.50407739677627,6
"407","R_1QH55CS8w4P9JoK","A1.2R",4,0,3750,17,200,15.343,1.50407739677627,6
"408","R_1QH55CS8w4P9JoK","A1.3R",1,0,4200,39,600,5.251,1.50407739677627,6
"409","R_1QH55CS8w4P9JoK","A1.3R",3,1,3800,17,350,5.251,1.50407739677627,6
"410","R_1QH55CS8w4P9JoK","A1.3R",4,0,3780,17,300,5.251,1.50407739677627,6
"431","R_1I4bJytxmiu84aS","A1.1",1,0,3000,23,850,8.967,0.916290731874155,5
"432","R_1I4bJytxmiu84aS","A1.1",3,0,3000,14,500,8.967,0.916290731874155,5
"433","R_1I4bJytxmiu84aS","A1.1",4,1,2950,14,400,8.967,0.916290731874155,5
"434","R_1I4bJytxmiu84aS","A1.3",1,0,3000,23,850,3.473,0.916290731874155,5
"435","R_1I4bJytxmiu84aS","A1.3",3,0,3000,14,500,3.473,0.916290731874155,5
"436","R_1I4bJytxmiu84aS","A1.3",4,1,2980,14,450,3.473,0.916290731874155,5
"437","R_1I4bJytxmiu84aS","A1.2",1,0,3000,23,850,8.487,0.916290731874155,5
"438","R_1I4bJytxmiu84aS","A1.2",3,0,3000,14,500,8.487,0.916290731874155,5
"439","R_1I4bJytxmiu84aS","A1.2",4,1,2950,14,350,8.487,0.916290731874155,5
"440","R_1I4bJytxmiu84aS","A1.4",1,0,3000,23,850,15.546,0.916290731874155,5
"441","R_1I4bJytxmiu84aS","A1.4",3,0,3000,14,500,15.546,0.916290731874155,5
"442","R_1I4bJytxmiu84aS","A1.4",4,1,2980,14,400,15.546,0.916290731874155,5
"461","R_DTxkDnbqT7ODhD3","A1.3R",1,1,2100,30,650,11.208,1.25276296849537,6
"462","R_DTxkDnbqT7ODhD3","A1.3R",3,0,2400,11,400,11.208,1.25276296849537,6
"463","R_DTxkDnbqT7ODhD3","A1.3R",4,0,2380,11,350,11.208,1.25276296849537,6
"464","R_DTxkDnbqT7ODhD3","A1.1R",1,1,2100,30,650,34.735,1.25276296849537,6
"465","R_DTxkDnbqT7ODhD3","A1.1R",3,0,2400,11,400,34.735,1.25276296849537,6
"466","R_DTxkDnbqT7ODhD3","A1.1R",4,0,2350,11,300,34.735,1.25276296849537,6
"467","R_DTxkDnbqT7ODhD3","A1.2R",1,1,2100,30,650,3.868,1.25276296849537,6
"468","R_DTxkDnbqT7ODhD3","A1.2R",3,0,2400,11,400,3.868,1.25276296849537,6
"469","R_DTxkDnbqT7ODhD3","A1.2R",4,0,2350,11,250,3.868,1.25276296849537,6
"470","R_DTxkDnbqT7ODhD3","A1.4R",1,1,2100,30,650,4.219,1.25276296849537,6
"471","R_DTxkDnbqT7ODhD3","A1.4R",3,0,2400,11,400,4.219,1.25276296849537,6
"472","R_DTxkDnbqT7ODhD3","A1.4R",4,0,2380,11,300,4.219,1.25276296849537,6
"525","R_2V1JuOHs3yzzfpE","A1.1",1,1,1800,41,600,35.606,1.70474809223843,6
