"chosen","RT","A1","B1","C1","A2","B2","C2","A3","B3","C3"
2,9.66688367211233,0.40933929133961,0.8168518437575,0.163800863345302,0.551500179710997,0.180190138804618,0.556819887491517,0.666826808429961,0.198116673646577,0.507982671707864
2,6.00524848224116,0.707988891415306,0.346285500664539,0.641123092819842,0.653071150437631,0.918135061120555,0.326530702570997,0.593993926798893,0.28713433549387,0.449287472826333
1,11.7992764996739,0.609135519382325,0.0611122302305385,0.528578725813405,0.296766364783961,0.274259950340238,0.441964965560379,0.666671453317074,0.169796853278043,0.435072051563174
1,11.1177238268505,0.836896936219574,0.035633151245316,0.651293753678267,0.349850607987434,0.0403777803891698,0.593300147635362,0.439023189699109,0.920570380839774,0.346966465971369
3,2.42641242639308,0.674628000766991,0.34812928242984,0.274356309388164,0.477834997156258,0.251374192116838,0.549066894821642,0.51540197947572,0.874343158141078,0.678326191816666
3,7.58156720103125,0.570494673486763,0.61998727846428,0.554362159464615,0.618283310905842,0.756960427573386,0.294290670419943,0.649139426161716,0.677464507315223,0.571501814056264
3,4.79133322579507,0.552305402077828,0.89571069978738,0.423800695593793,0.849282615476843,0.0351883411902172,0.412969551348703,0.394296564371248,0.817362215496559,0.600253884764093
3,6.91848234231774,0.829941415469977,0.895879158189491,0.5616820314348,0.356068676363223,0.976283856059319,0.465895128161251,0.516464379330894,0.988757377010745,0.679578967433199
1,3.73888100998028,0.582841669175537,0.833062269058577,0.403481500018125,0.769814231935708,0.290608355053673,0.474538240683308,0.410774001997914,0.122325349364334,0.299008074277455
2,10.0132030077703,0.336287861067601,0.310643539509554,0.511507419816136,0.458416554332089,0.504336512098618,0.518023547327511,0.268899069080493,0.00375229238125864,0.709295705763463
1,6.72569022650162,0.516030966990166,0.520349390554519,0.511167742773448,0.374484065671371,0.215297723890823,0.479150245154852,0.612420609806076,0.204227111573604,0.338340032658153
1,4.98286004229979,0.541455623672195,0.961175619775008,0.527431338415534,0.2736465804416,0.373305508333733,0.363971739905009,0.441044528421425,0.0916869082332563,0.815209594049081
3,3.61814499152038,0.653959470793996,0.254503103865794,0.446511508579636,0.700181375820371,0.412385638914541,0.471249104980163,0.61801669732456,0.439514792587791,0.47392109745734
3,4.05994255617403,0.399779388778211,0.0753219374704953,0.39597023027192,0.446803796858652,0.127295579644475,0.611065785201321,0.569209837377879,0.472802903150585,0.553041173613998
3,4.44124990465485,0.522578175517056,0.750278296993706,0.425458131561822,0.752340647832492,0.160690352424959,0.456446202252308,0.713526141143602,0.633605430701291,0.632412216652587
1,5.46374816617633,0.506134483529563,0.242126613599404,0.628991953462253,0.534912804117015,0.395866410655173,0.50870105006138,0.520377875010678,0.142332860446411,0.487918639252804
3,15.8381176141253,0.404915614768109,0.396687804995741,0.395626785449038,0.623814119360108,0.225929721722736,0.403203164618319,0.495111357472465,0.455371248087076,0.70989844617944
3,3.96466106233171,0.50059467986212,0.171246773553919,0.397471479056868,0.555266335736294,0.487440953887899,0.392534449023986,0.566939405953736,0.691506745463746,0.585908249299417
3,4.34388169349371,0.719469001192317,0.604997301239412,0.469572101979065,0.324160554860556,0.541928409035452,0.506589685888777,0.287472337481815,0.932563918658695,0.402215744526168
3,8.90443033105021,0.727675562657392,0.601208025781279,0.382670179188892,0.537073994812019,0.238642396619371,0.560329226734999,0.567988184637945,0.389208903074709,0.420086577009736
2,9.79061593473822,0.649640622842811,0.360668440267785,0.530918279325994,0.652090679919005,0.651578271868999,0.416582228814608,0.738705341221349,0.315368591465612,0.568950081726389
3,10.5160428934971,0.595635362866754,0.886136313137591,0.27409169864829,0.47434185740595,0.0864633763514186,0.48223761874971,0.720086264147909,0.642220199306613,0.48202659402342
3,6.0195913857802,0.640606042987401,0.521239805196096,0.368058798099832,0.727617429101735,0.201019258157523,0.699827219108421,0.838008514393838,0.421089508071745,0.521123846466258
3,3.84253733091264,0.394807687192594,0.370167317242989,0.722136910786623,0.280916038036181,0.257349732535117,0.643809717078209,0.456211445280231,0.791587641136232,0.753188219955242
2,10.0390929545205,0.471621777730221,0.799320401905249,0.731801521042605,0.630193411906815,0.806736011531331,0.421129735134705,0.547406342519408,0.679540957856025,0.49114439876656
1,8.98695969305975,0.759793639913758,0.385574991665116,0.544436565030259,0.528020252153426,0.862915774376438,0.623076322605577,0.37520178491229,0.161347812427893,0.511391770394089
2,4.54044478301785,0.432554030341309,0.312478857483793,0.484667412082058,0.606104874783275,0.862579016385071,0.686109850922326,0.787255930549877,0.125120574982956,0.457441799240533
3,5.32974689812693,0.514902586529817,0.0983086670397084,0.36459954760368,0.486369670295117,0.487623467461364,0.406586300863538,0.212603303383414,0.571676030085072,0.687561107907761
